0;5
0;20
0;40
3;52
1;50
1;54
3;57
3;71
1;39
0;38
2;41
0;55
2;57
2;48
1;54
2;36
3;37
1;42
3;67
3;72
6;76
7;79
3;45
2;35
1;7
3;63
5;65
6;71
3;79
8;46
1;43
3;56
4;73
4;83
4;80
3;73
1;45
0;37
3;66
6;74
5;70
1;64
5;74
4;47
0;31
0;63
1;53
7;66
3;65
3;66
0;37
1;41
5;64
1;71
3;70
3;74
2;70
2;50
1;39
4;55
2;64
1;66
3;76
4;75
2;40
0;31
4;40
0;68
3;66
2;73
5;41
0;36
6;36
5;38
3;55
4;61
1;67
3;62
1;46
2;40
3;69
3;74
3;56
1;58
4;70
3;40
0;35
1;61
6;72
4;71
6;71
5;66
3;51
0;43
6;58
7;60
4;46
14;74
11;53
6;34
6;28
4;65
7;59
4;57
3;74
7;67
2;41
1;40
3;49
3;67
2;59
4;44
3;56
1;33
1;31
8;53
7;83
9;93
3;68
3;59
2;37
3;35
5;66
4;69
6;68
4;72
2;78
1;30
3;34
4;55
1;64
0;78
3;74
3;68
2;40
2;37
4;64
3;59
5;65
6;56
3;32
2;24
3;30
3;54
3;53
4;53
5;59
2;72
0;44
5;37
6;60
3;54
6;59
6;53
6;70
3;34
5;34
3;54
4;52
3;59
5;73
4;60
0;32
1;34
2;66
1;47
6;59
6;64
1;21
0;31
1;35
1;54
4;61
2;62
4;58
3;60
0;39
1;32
3;61
2;51
2;56
3;62
5;59
4;36
0;36
2;50
2;64
2;60
5;61
2;48
4;34
3;35
3;53
4;70
4;76
9;71
8;67
5;40
3;33
9;65
9;68
11;72
6;65
4;72
1;42
1;37
3;71
2;73
5;73
3;64
3;30
1;12
1;36
8;69
5;68
5;78
12;79
7;60
2;37
5;39
3;59
5;70
3;72
2;79
2;74
2;45
2;34
3;70
4;70
4;77
5;82
1;73
3;36
4;32
4;82
6;79
4;87
1;83
1;57
0;41
1;39
2;65
3;65
2;65
7;66
7;70
1;37
0;35
2;59
0;61
3;82
4;66
2;73
2;40
3;35
1;58
8;72
3;66
5;60
7;64
4;51
4;39
2;52
5;64
3;55
3;68
2;75
3;31
0;46
3;61
5;66
5;70
5;77
7;72
4;43
1;38
4;66
4;69
2;59
4;80
11;74
3;35
2;30
3;57
10;72
4;83
4;76
4;81
4;47
1;45
4;65
2;66
3;78
5;87
2;75
3;48
2;50
2;72
3;75
2;82
3;77
3;66
0;37
1;36
2;60
0;39
2;54
2;41
3;70
0;42
1;40
4;78
5;82
1;64
7;81
3;73
0;46
0;45
5;63
1;66
2;70
0;69
1;64
0;21
0;26
0;23
2;53
0;68
2;74
1;60
4;43
2;37
1;49
4;63
1;62
3;69
1;34
0;37
2;37
3;62
2;70
1;84
0;77
4;74
2;42
2;38
1;72
1;77
2;76
6;83
3;82
2;55
3;51
0;18
8;69
5;76
4;90
3;85
1;40
3;51
2;76
2;74
5;80
9;81
4;89
3;48
2;52
1;73
4;76
1;72
5;68
1;76
4;37
2;40
1;73
5;78
4;74
5;93
1;64
0;36
2;39
2;64
2;73
2;60
7;83
2;22
3;48
4;53
2;60
5;80
1;69
8;79
2;64
2;51
2;47
4;60
8;65
4;64
4;74
3;65
3;34
1;42
6;64
5;77
5;71
6;68
3;75
1;49
2;45
0;71
4;77
2;74
5;76
9;87
2;50
3;51
5;75
2;86
1;83
7;75
3;75
4;47
6;58
6;61
3;48
14;114
2;77
4;43
3;42
0;36
1;53
5;69
4;78
3;84
3;74
2;45
1;42
0;74
1;72
2;82
1;73
3;68
1;37
2;44
3;65
3;79
0;87
5;76
1;74
2;49
2;42
3;35
2;65
6;61
3;72
1;79
1;36
1;34
1;63
1;78
0;68
2;66
2;72
3;42
2;30
3;74
3;76
3;75
1;45
1;70
1;49
3;45
1;69
3;65
0;76
0;71
4;71
1;42
0;42
1;71
1;79
1;69
2;82
3;79
2;35
1;46
1;73
0;66
3;77
5;80
2;85
3;47
1;41
7;65
1;73
1;76
4;77
4;85
1;42
1;34
5;68
3;79
2;65
4;74
1;32
0;27
0;37
5;82
1;83
7;74
4;69
6;89
2;44
3;49
4;74
5;70
6;59
9;69
7;61
4;53
4;46
6;63
5;35
